Year-,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the Taluka ,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion,Annual avg,Total rainfall,% precipitataion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAVATMAL,999.8,811.6,81.1,999.8,900.9,90.1,999.8,716.9,71.7,999.8,1699.7,170,999.8,914.1,91.4,999.8,1319.9,132,999.8,497.5,49.7,999.8,936.7,93.6,999.8,847.5,84.7,999.8,1102.5,110.2,999.8,1166.7,116.6,999.8,876.4,87.6,999.8,832.8,83.3,999.8,876.4,87.6,999.8,1220.9,122.1,999.8,1075.8,107.6,999.8,1278.8,127.9,999.8,1110.4,111,999.8,563.8,56.3,946,661.85,69.96,946,180.7,124.81,946,1224.8,129.47,946,938.94,99.25,946,652.28,68.95,946,847.07,465.4,1057.29,1093.06,103.38,946,841.49,89.53,946,994.66,83.84,946,1412.16,119.03,946,837.64,88.54,946,813.2,85.96,946,989,104.54
BABHULGAON,999.8,28.2,2.8,999.8,1059,105.9,999.8,509.7,50.9,999.8,0,0,999.8,668.2,66.8,999.8,1125.4,112.5,999.8,1069.4,106.9,999.8,911.4,91.1,999.8,846.1,84.6,999.8,798.2,79.8,999.8,998,99.8,999.8,1020.7,102,999.8,631.5,63.1,999.8,770.6,77,999.8,930,93,999.8,753,75.3,999.8,927,92.7,999.8,761,76.1,999.8,394,39.4,948.2,462.07,48.73,948.2,909,95.87,948.2,864.3,91.15,948.2,783,82.57,948.2,407.54,42.98,948.2,849.04,368.45,1059.75,931,87.85,948.2,762.6,80.95,948.2,892.77,75.07,948.2,1114.3,93.7,948.2,858.1,90.49,948.2,628,66.23,948.2,825,87
KALAMB,999.8,770.2,77,999.8,1028.5,102.8,999.8,630.2,63,999.8,1198.7,119.9,999.8,875.7,87.5,999.8,1482.7,148.3,999.8,707.5,70.7,999.8,1026.9,102.7,999.8,0,0,999.8,1215.6,121.5,999.8,1198,119.8,999.8,910.1,91,999.8,643.7,64.3,999.8,1057.4,105.7,999.8,936.4,93.6,999.8,957,95.7,999.8,1117,111.7,999.8,1212,121.2,999.8,568,56.8,948.2,388.12,40.93,948.2,1275,134.47,948.2,1313,138.47,948.2,976.1,102.94,948.2,389,41.02,948.2,849.04,254.4,1059.75,785,74.07,948.2,590.19,62.65,948.2,826,69.46,948.2,807,67.86,948.2,518,54.62,948.2,369,38.91,948.2,577,60.85
ARNI,855.8,0,0,855.8,0,0,855.8,0,0,855.8,0,0,855.8,0,0,855.8,0,0,855.8,0,0,855.8,0,0,855.8,665.5,77.7,855.8,1072.6,125.3,855.8,919.2,107.4,855.8,929.2,108.5,855.8,758,88.5,855.8,640.7,74.8,855.8,563,65.7,855.8,438,51.1,855.8,568,66.3,855.8,639,74.6,855.8,270,31.5,816.6,282.05,34.53,816.6,594.2,72.77,816.6,698.6,85.55,816.6,469,57.43,816.6,475,58.16,816.6,731.2,309.5,912.67,698.5,76.53,816.6,529.6,65.28,816.6,1268.15,123.83,816.6,1767,172.54,816.6,634,77.63,816.6,713,87.31,816.6,970,118.78
DARWHA,850.8,0,0,850.8,631,74.1,850.8,388,45.6,850.8,869.9,102.2,850.8,684,80.4,850.8,1046.5,123,850.8,546.9,64.2,850.8,850.8,100,850.8,452.7,53.2,850.8,865.8,101.7,850.8,741.3,87.1,850.8,636.7,74.8,850.8,609.2,71.6,850.8,758.8,89.1,850.8,916.5,107.7,850.8,1000,117.5,850.8,930,109.3,850.8,1063,124.9,850.8,318,37.3,805,423.66,52.62,805,962.4,119.55,805,1134,140.87,805,803.52,99.81,805,513.72,63.81,805,720.82,369,899.71,1148,127.59,805,771.4,96.45,805,775,76.76,805,1078.7,106.84,805,691,85.83,805,705,87.57,805,738,91.67
DIGRAS,855.8,29,3.3,855.8,33.6,3.9,855.8,29.1,3.4,855.8,68.1,7.9,855.8,38.8,4.5,855.8,1451,169.5,855.8,360.4,42.1,855.8,1091.2,127.5,855.8,690,80.6,855.8,896.1,104.7,855.8,1268.7,148.2,855.8,730.6,85.3,855.8,671.6,78.4,855.8,815.3,95.2,855.8,1027.4,120,855.8,836.5,97.7,855.8,822,96,855.8,986.3,115.2,855.8,472,55.1,821.8,462,56.21,821.8,964,117.3,821.8,1249,151.98,821.8,790,96.13,821.8,443.12,53.92,821.8,735.86,619.65,918.48,1266,137.83,821.8,892,109.25,821.8,913.55,88.64,821.8,1371.2,133.04,821.8,594,72.28,821.8,720,87.61,821.8,938,114.13
NER,807.6,530.8,65.7,807.6,0,0,807.6,928,114.9,807.6,1396.5,172.9,807.6,810.1,100.3,807.6,1314.3,162.7,807.6,476.2,58.9,807.6,960.1,118.8,807.6,864.5,107,807.6,1133,140.2,807.6,875.8,108.4,807.6,730.8,90.4,807.6,674,83.4,807.6,463.5,57.3,807.6,503.3,62.3,807.6,395.8,49,807.6,496.2,61.4,807.6,424,52.5,807.6,222,27.4,760,329.03,43.29,760,587,77.24,760,1007.2,132.53,760,717,94.34,760,506.2,66.6,760,680.52,434.2,849.41,982,115.6,760,872,115.49,760,758,79.52,760,1191,124.95,760,721,94.86,760,709,93.28,760,799,105.13
